customer_id,has_partner,has_dependents
7590-VHVEG,Yes,No
5575-GNVDE,No,No
3668-QPYBK,No,No
7795-CFOCW,No,No
9237-HQITU,No,No
9305-CDSKC,No,No
1452-KIOVK,No,Yes
6713-OKOMC,No,No
7892-POOKP,Yes,No
6388-TABGU,No,Yes
9763-GRSKD,Yes,Yes
7469-LKBCI,No,No
8091-TTVAX,Yes,No
0280-XJGEX,No,No
5129-JLPIS,No,No
3655-SNQYZ,Yes,Yes
8191-XWSZG,No,No
9959-WOFKT,No,Yes
4190-MFLUW,Yes,Yes
4183-MYFRB,No,No
8779-QRDMV,No,No
1680-VDCWW,Yes,No
1066-JKSGK,No,No
3638-WEABW,Yes,No
6322-HRPFA,Yes,Yes
6865-JZNKO,No,No
6467-CHFZW,Yes,Yes
8665-UTDHZ,Yes,Yes
5248-YGIJN,Yes,No
8773-HHUOZ,No,Yes
3841-NFECX,Yes,No
4929-XIHVW,Yes,No
6827-IEAUQ,Yes,Yes
7310-EGVHZ,No,No
3413-BMNZE,No,No
6234-RAAPL,Yes,Yes
6047-YHPVI,No,No
6572-ADKRS,No,No
5380-WJKOV,No,No
8168-UQWWF,No,No
8865-TNMNX,Yes,Yes
9489-DEDVP,Yes,Yes
9867-JCZSP,Yes,Yes
4671-VJLCL,No,No
4080-IIARD,Yes,No
3714-NTNFO,No,No
5948-UJZLF,No,No
7760-OYPDY,No,No
7639-LIAYI,No,No
2954-PIBKO,Yes,Yes
8012-SOUDQ,No,No
9420-LOJKX,No,No
6575-SUVOI,Yes,No
7495-OOKFY,Yes,No
4667-QONEA,Yes,Yes
1658-BYGOY,No,No
8769-KKTPH,Yes,Yes
5067-XJQFU,Yes,Yes
3957-SQXML,Yes,Yes
5954-BDFSG,No,No
0434-CSFON,Yes,No
1215-FIGMP,No,No
0526-SXDJP,Yes,No
0557-ASKVU,Yes,Yes
5698-BQJOH,No,No
5122-CYFXA,No,No
8627-ZYGSZ,Yes,No
3410-YOQBQ,No,No
3170-NMYVV,Yes,Yes
7410-OIEDU,No,No
2273-QCKXA,No,No
0731-EBJQB,Yes,Yes
1891-QRQSA,Yes,Yes
8028-PNXHQ,Yes,Yes
5630-AHZIL,No,Yes
2673-CXQEU,No,No
6416-JNVRK,No,No
5590-ZSKRV,Yes,Yes
0191-ZHSKZ,No,No
3887-PBQAO,Yes,Yes
5919-TMRGD,No,Yes
8108-UXRQN,Yes,Yes
9191-MYQKX,Yes,No
9919-YLNNG,No,No
0318-ZOPWS,Yes,No
