customer_id,gender,senior_citizen,age_group
8779-QRDMV,Male,Yes,60+
7495-OOKFY,Female,Yes,60+
1658-BYGOY,Male,Yes,60+
4598-XLKNJ,Female,Yes,60+
4846-WHAFZ,Female,Yes,60+
4412-YLTKF,Female,Yes,60+
0390-DCFDQ,Female,Yes,60+
3445-HXXGF,Male,Yes,60+
2656-FMOKZ,Female,Yes,60+
2070-FNEXE,Female,Yes,60+
0094-OIFMO,Female,Yes,60+
9947-OTFQU,Male,Yes,60+
9514-JDSKI,Male,Yes,60+
7273-TEFQD,Male,Yes,60+
3606-TWKGI,Male,Yes,60+
4385-GZQXV,Female,Yes,60+
3488-PGMQJ,Male,Yes,60+
7534-BFESC,Male,Yes,60+
8098-LLAZX,Female,Yes,60+
0265-EDXBD,Male,Yes,60+
2840-XANRC,Male,Yes,60+
5020-ZSTTY,Female,Yes,60+
5804-LEPIM,Female,Yes,60+
0623-IIHUG,Female,Yes,60+
9057-MSWCO,Male,Yes,60+
4895-TMWIR,Male,Yes,60+
0533-BNWKF,Female,Yes,60+
0334-GDDSO,Male,Yes,60+
5564-NEMQO,Female,Yes,60+
6235-VDHOM,Female,Yes,60+
5609-CEBID,Female,Yes,60+
5956-VKDTT,Female,Yes,60+
0257-ZESQC,Female,Yes,60+
2865-TCHJW,Female,Yes,60+
5192-EBGOV,Female,Yes,60+
3419-SNJJD,Female,Yes,60+
4554-YGZIH,Male,Yes,60+
5099-BAILX,Male,Yes,60+
4913-EHYUI,Male,Yes,60+
1626-ERCMM,Male,Yes,60+
5644-PDMZC,Female,Yes,60+
4160-AMJTL,Female,Yes,60+
0823-HSCDJ,Male,Yes,60+
0067-DKWBL,Male,Yes,60+
5244-IRFIH,Male,Yes,60+
2684-EIWEO,Female,Yes,60+
6683-VLCTZ,Male,Yes,60+
0691-IFBQW,Female,Yes,60+
3643-AHCFP,Male,Yes,60+
9231-ZJYAM,Female,Yes,60+
0727-BMPLR,Female,Yes,60+
0947-MUGVO,Male,Yes,60+
0781-LKXBR,Male,Yes,60+
1907-UBQFC,Male,Yes,60+
6513-EECDB,Male,Yes,60+
7074-IEVOJ,Female,Yes,60+
4750-ZRXIU,Female,Yes,60+
7028-DVOIQ,Male,Yes,60+
4208-UFFGW,Male,Yes,60+
9889-TMAHG,Male,Yes,60+
8919-FYFQZ,Male,Yes,60+
6646-QVXLR,Male,Yes,60+
9369-XFEHK,Female,Yes,60+
1374-DMZUI,Female,Yes,60+
1989-PRJHP,Male,Yes,60+
4822-RVYBB,Male,Yes,60+
4184-TJFAN,Female,Yes,60+
4145-UQXUQ,Female,Yes,60+
1236-WFCDV,Male,Yes,60+
1271-SJBGZ,Male,Yes,60+
4441-NIHPT,Female,Yes,60+
8999-BOHSE,Female,Yes,60+
7029-RPUAV,Male,Yes,60+
8111-SLLHI,Male,Yes,60+
5293-WXJAK,Female,Yes,60+
4086-YQSNZ,Female,Yes,60+
8399-YNDCH,Male,Yes,60+
5565-FILXA,Female,Yes,60+
4187-CINZD,Female,Yes,60+
6818-WOBHJ,Female,Yes,60+
9134-CEQMF,Male,Yes,60+
8519-IMDHU,Male,Yes,60+
3372-KWFBM,Male,Yes,60+
7206-GZCDC,Female,Yes,60+
1768-ZAIFU,Female,Yes,60+
3793-MMFUH,Female,Yes,60+
6567-HOOPW,Female,Yes,60+
8621-MNIHH,Female,Yes,60+
5419-CONWX,Female,Yes,60+
7024-OHCCK,Female,Yes,60+
5357-TZHPP,Male,Yes,60+
0506-LVNGN,Female,Yes,60+
9809-IMGCQ,Male,Yes,60+
3254-YRILK,Male,Yes,60+
0529-ONKER,Male,Yes,60+
5240-IJOQT,Male,Yes,60+
0661-XEYAN,Female,Yes,60+
2660-EMUBI,Male,Yes,60+
7675-OZCZG,Female,Yes,60+
9391-EOYLI,Male,Yes,60+
2761-OCIAX,Male,Yes,60+
3068-OMWZA,Male,Yes,60+
4154-AQUGT,Male,Yes,60+
8017-LXHFA,Female,Yes,60+
4248-QPAVC,Female,Yes,60+
4690-LLKUA,Male,Yes,60+
9490-DFPMD,Female,Yes,60+
8580-AECUZ,Male,Yes,60+
5047-LHVLY,Male,Yes,60+
8375-DKEBR,Female,Yes,60+
7279-BUYWN,Female,Yes,60+
7156-MHUGY,Male,Yes,60+
9606-PBKBQ,Male,Yes,60+
3536-IQCTX,Male,Yes,60+
3132-TVFDZ,Male,Yes,60+
8080-DDEMJ,Male,Yes,60+
6702-OHFWR,Male,Yes,60+
4510-PYUSH,Female,Yes,60+
8840-DQLGN,Female,Yes,60+
4193-ORFCL,Female,Yes,60+
7776-QWNFX,Male,Yes,60+
6689-TCZHQ,Female,Yes,60+
9497-QCMMS,Male,Yes,60+
3424-NMNBO,Male,Yes,60+
4514-GFCFI,Female,Yes,60+
8000-REIQB,Female,Yes,60+
4795-KTRTH,Female,Yes,60+
9961-JBNMK,Male,Yes,60+
6179-GJPSO,Female,Yes,60+
8290-YWKHZ,Female,Yes,60+
8051-HJRLT,Female,Yes,60+
4021-RQSNY,Male,Yes,60+
9061-TIHDA,Male,Yes,60+
8699-ASUFO,Male,Yes,60+
4695-WJZUE,Female,Yes,60+
3988-RQIXO,Female,Yes,60+
5931-FLJJF,Male,Yes,60+
3207-OYBWH,Male,Yes,60+
7216-EWTRS,Female,Yes,60+
2528-HFYZX,Male,Yes,60+
4140-MUHUG,Female,Yes,60+
1587-FKLZB,Male,Yes,60+
5440-FLBQG,Male,Yes,60+
2774-LVQUS,Female,Yes,60+
4612-THJBS,Female,Yes,60+
4094-NSEDU,Female,Yes,60+
1846-XWOQN,Female,Yes,60+
3757-NJYBX,Male,Yes,60+
9898-KZQDZ,Female,Yes,60+
8263-JQAIK,Male,Yes,60+
2205-YMZZJ,Male,Yes,60+
1254-IZEYF,Female,Yes,60+
9221-OTIVJ,Female,Yes,60+
5908-QMGOE,Male,Yes,60+
0397-GZBBC,Male,Yes,60+
7641-EUYET,Male,Yes,60+
8922-LIEGH,Female,Yes,60+
8245-UMPYT,Female,Yes,60+
5186-SAMNZ,Male,Yes,60+
5373-SFODM,Male,Yes,60+
0022-TCJCI,Male,Yes,60+
5130-IEKQT,Male,Yes,60+
3269-ATYWD,Male,Yes,60+
0354-WYROK,Female,Yes,60+
7576-OYWBN,Male,Yes,60+
5539-TMZLF,Male,Yes,60+
3336-JORSO,Female,Yes,60+
6861-XWTWQ,Male,Yes,60+
4283-FUTGF,Male,Yes,60+
2397-BRLOM,Male,Yes,60+
8510-AWCXC,Female,Yes,60+
8225-BTJAU,Male,Yes,60+
1724-BQUHA,Male,Yes,60+
4826-XTSOH,Male,Yes,60+
2408-WITXK,Female,Yes,60+
2634-HCZGT,Male,Yes,60+
7503-QQRVF,Male,Yes,60+
0709-TVGUR,Female,Yes,60+
3001-CBHLQ,Male,Yes,60+
4102-OQUPX,Male,Yes,60+
3999-QGRJH,Male,Yes,60+
2454-RPBRZ,Female,Yes,60+
2265-CYWIV,Female,Yes,60+
4550-VBOFE,Male,Yes,60+
7409-KIUTL,Female,Yes,60+
1732-VHUBQ,Female,Yes,60+
0679-IDSTG,Female,Yes,60+
8802-UNOJF,Male,Yes,60+
6313-GIDIT,Male,Yes,60+
2845-AFFTX,Male,Yes,60+
2815-CPTUL,Male,Yes,60+
1891-FZYSA,Male,Yes,60+
9685-WKZGT,Male,Yes,60+
6022-UGGSO,Female,Yes,60+
3923-CSIHK,Female,Yes,60+
3677-IYRBF,Female,Yes,60+
8118-LSUEL,Male,Yes,60+
5277-ZLOOR,Female,Yes,60+
4248-HCETZ,Male,Yes,60+
9174-FKWZE,Female,Yes,60+
5307-DZCVC,Female,Yes,60+
8679-JOEVF,Female,Yes,60+
4803-AXVYP,Female,Yes,60+
5649-ANRML,Male,Yes,60+
7395-IGJOS,Male,Yes,60+
7890-VYYWG,Male,Yes,60+
9907-SWKKF,Female,Yes,60+
6397-JNZZG,Female,Yes,60+
7779-LGOVN,Male,Yes,60+
9710-ZUSHQ,Female,Yes,60+
3902-FOIGH,Male,Yes,60+
3318-OSATS,Male,Yes,60+
2636-ALXXZ,Female,Yes,60+
9885-CSMWE,Female,Yes,60+
8058-JMEQO,Female,Yes,60+
7657-DYEPJ,Male,Yes,60+
8276-MQBYC,Male,Yes,60+
6015-VVHHE,Female,Yes,60+
2516-VQRRV,Female,Yes,60+
7580-UGXNC,Female,Yes,60+
5178-LMXOP,Male,Yes,60+
7056-IMHCC,Male,Yes,60+
8749-JMNKX,Male,Yes,60+
0917-EZOLA,Male,Yes,60+
8414-MYSHR,Male,Yes,60+
4988-IQIGL,Male,Yes,60+
4706-AXVKM,Female,Yes,60+
5889-JTMUL,Female,Yes,60+
9026-RNUJS,Male,Yes,60+
1624-NALOJ,Male,Yes,60+
6210-KBBPI,Male,Yes,60+
2260-USTRB,Female,Yes,60+
8623-TMRBY,Male,Yes,60+
6900-PXRMS,Male,Yes,60+
3346-BRMIS,Female,Yes,60+
2722-JMONI,Female,Yes,60+
