customer_id,contract_type,internet_service,internet_type,phone_service,multiple_lines,online_security,online_backup,device_protection_plan,premium_tech_support,payment_method,paperless_billing
8779-QRDMV,Month-to-Month,Yes,DSL,No,No,No,No,Yes,No,Bank Withdrawal,Yes
7495-OOKFY,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Credit Card,Yes
1658-BYGOY,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
4598-XLKNJ,Month-to-Month,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,Bank Withdrawal,Yes
4846-WHAFZ,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
4412-YLTKF,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Bank Withdrawal,Yes
0390-DCFDQ,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Mailed Check,Yes
3445-HXXGF,Month-to-Month,Yes,DSL,No,No,No,Yes,Yes,No,Bank Withdrawal,Yes
2656-FMOKZ,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Mailed Check,Yes
2070-FNEXE,Month-to-Month,Yes,Fiber Optic,Yes,No,Yes,No,No,No,Bank Withdrawal,No
0094-OIFMO,Month-to-Month,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Bank Withdrawal,Yes
9947-OTFQU,Month-to-Month,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Bank Withdrawal,Yes
9514-JDSKI,Month-to-Month,Yes,DSL,No,No,No,Yes,No,No,Bank Withdrawal,No
7273-TEFQD,Month-to-Month,Yes,DSL,No,No,No,No,Yes,No,Bank Withdrawal,Yes
3606-TWKGI,Month-to-Month,Yes,Cable,Yes,Yes,No,Yes,Yes,No,Bank Withdrawal,Yes
4385-GZQXV,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Bank Withdrawal,Yes
3488-PGMQJ,Month-to-Month,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Bank Withdrawal,Yes
7534-BFESC,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
8098-LLAZX,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
0265-EDXBD,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
2840-XANRC,Month-to-Month,Yes,Cable,Yes,No,No,No,Yes,No,Bank Withdrawal,Yes
5020-ZSTTY,One Year,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Bank Withdrawal,No
5804-LEPIM,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
0623-IIHUG,Month-to-Month,Yes,Cable,No,No,Yes,No,No,No,Bank Withdrawal,Yes
9057-MSWCO,Month-to-Month,Yes,Cable,No,No,Yes,No,No,No,Credit Card,No
4895-TMWIR,Month-to-Month,No,,Yes,No,No,No,No,No,Mailed Check,No
0533-BNWKF,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Bank Withdrawal,Yes
0334-GDDSO,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Bank Withdrawal,Yes
5564-NEMQO,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,Yes,No,Bank Withdrawal,Yes
6235-VDHOM,Month-to-Month,Yes,DSL,No,No,No,Yes,No,No,Bank Withdrawal,No
5609-CEBID,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Bank Withdrawal,Yes
5956-VKDTT,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
0257-ZESQC,Month-to-Month,Yes,Cable,Yes,No,Yes,No,No,No,Bank Withdrawal,Yes
2865-TCHJW,Month-to-Month,Yes,Cable,Yes,Yes,No,No,Yes,No,Bank Withdrawal,Yes
5192-EBGOV,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
3419-SNJJD,Month-to-Month,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Bank Withdrawal,No
4554-YGZIH,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Credit Card,No
5099-BAILX,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Bank Withdrawal,Yes
4913-EHYUI,One Year,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Bank Withdrawal,Yes
1626-ERCMM,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
5644-PDMZC,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Bank Withdrawal,No
4160-AMJTL,Month-to-Month,No,,Yes,No,No,No,No,No,Bank Withdrawal,No
0823-HSCDJ,Month-to-Month,Yes,DSL,No,No,No,Yes,No,No,Bank Withdrawal,Yes
0067-DKWBL,Month-to-Month,Yes,DSL,Yes,No,Yes,No,No,No,Bank Withdrawal,Yes
5244-IRFIH,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
2684-EIWEO,Month-to-Month,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Credit Card,No
6683-VLCTZ,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Bank Withdrawal,Yes
0691-IFBQW,One Year,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Bank Withdrawal,Yes
3643-AHCFP,Month-to-Month,Yes,Cable,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
9231-ZJYAM,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
0727-BMPLR,One Year,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Bank Withdrawal,Yes
0947-MUGVO,Month-to-Month,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Bank Withdrawal,Yes
0781-LKXBR,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Bank Withdrawal,Yes
