customer_id,churned,churn_reference_date,monthly_charges,total_revenue,tenure_months
8779-QRDMV,1,2023-09-30,39.65,59.65,1
7495-OOKFY,1,2023-09-30,80.65,1024.1,8
1658-BYGOY,1,2023-09-30,95.45,1910.88,18
4598-XLKNJ,1,2023-09-30,98.5,2995.07,25
4846-WHAFZ,1,2023-09-30,76.5,3102.36,37
4412-YLTKF,1,2023-09-30,78.05,2235.41,27
0390-DCFDQ,1,2023-09-30,70.45,85.73,1
3445-HXXGF,1,2023-09-30,45.3,2610.25,58
2656-FMOKZ,1,2023-09-30,74.45,1806.75,15
2070-FNEXE,1,2023-09-30,76.45,681.2,7
0094-OIFMO,1,2023-09-30,95.0,1367.79,11
9947-OTFQU,1,2023-09-30,74.4,1510.9499999999998,15
9514-JDSKI,1,2023-09-30,40.2,40.2,1
7273-TEFQD,1,2023-09-30,41.15,132.2,3
3606-TWKGI,1,2023-09-30,106.9,1799.1399999999999,13
4385-GZQXV,1,2023-09-30,94.45,1662.08,16
3488-PGMQJ,1,2023-09-30,74.5,620.79,8
7534-BFESC,1,2023-09-30,76.1,2453.58,24
8098-LLAZX,1,2023-09-30,95.45,522.54,4
0265-EDXBD,1,2023-09-30,74.9,3818.23,32
2840-XANRC,1,2023-09-30,93.15,2617.4500000000003,24
5020-ZSTTY,1,2023-09-30,82.45,5002.42,54
5804-LEPIM,1,2023-09-30,70.35,165.39000000000001,2
0623-IIHUG,1,2023-09-30,41.9,840.1,21
9057-MSWCO,1,2023-09-30,30.75,945.1,27
4895-TMWIR,1,2023-09-30,19.95,539.69,11
0533-BNWKF,1,2023-09-30,85.45,7319.799999999999,55
0334-GDDSO,1,2023-09-30,81.35,261.36,3
5564-NEMQO,1,2023-09-30,75.3,130.39,1
6235-VDHOM,1,2023-09-30,28.45,131.05,5
5609-CEBID,1,2023-09-30,94.1,2837.0,20
5956-VKDTT,1,2023-09-30,74.35,563.6,5
0257-ZESQC,1,2023-09-30,75.2,2118.89,27
2865-TCHJW,1,2023-09-30,89.2,539.6,4
5192-EBGOV,1,2023-09-30,85.7,131.51,1
3419-SNJJD,1,2023-09-30,105.25,7981.75,65
4554-YGZIH,1,2023-09-30,90.05,5670.33,49
5099-BAILX,1,2023-09-30,110.75,5312.259999999999,43
4913-EHYUI,1,2023-09-30,104.55,8527.449999999999,56
1626-ERCMM,1,2023-09-30,94.55,2005.8500000000001,20
