Status ID,Customer ID,Count,Quarter,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason,churned
SWSORB1252,8779-QRDMV,1,Q3,3,Churned,Yes,1,91,5433,Competitor,Competitor offered more data,1
SNAEQA8572,7495-OOKFY,1,Q3,3,Churned,Yes,1,69,5302,Competitor,Competitor made better offer,1
LMBQNN3714,1658-BYGOY,1,Q3,2,Churned,Yes,1,81,3179,Competitor,Competitor made better offer,1
VRZYZI9978,4598-XLKNJ,1,Q3,2,Churned,Yes,1,88,5337,Dissatisfaction,Limited range of services,1
FDNAKX1688,4846-WHAFZ,1,Q3,2,Churned,Yes,1,67,2793,Price,Extra data charges,1
YZFIXL5823,4412-YLTKF,1,Q3,1,Churned,Yes,1,95,4638,Competitor,Competitor had better devices,1
KSGHEG1626,0390-DCFDQ,1,Q3,2,Churned,Yes,1,76,3964,Other,Don't know,1
PABMTY8825,3445-HXXGF,1,Q3,1,Churned,Yes,1,91,5444,Dissatisfaction,Service dissatisfaction,1
YAMNBI7178,2656-FMOKZ,1,Q3,2,Churned,Yes,1,91,5717,Dissatisfaction,Limited range of services,1
GIFMGB8144,2070-FNEXE,1,Q3,2,Churned,Yes,1,81,4419,Price,Lack of affordable download/upload speed,1
UMEKHN2443,0094-OIFMO,1,Q3,1,Churned,Yes,1,85,5980,Dissatisfaction,Product dissatisfaction,1
YIPBAY5152,9947-OTFQU,1,Q3,1,Churned,Yes,1,86,4616,Competitor,Competitor had better devices,1
YZFWSV3242,9514-JDSKI,1,Q3,2,Churned,Yes,1,65,5828,Dissatisfaction,Limited range of services,1
MDETXO4922,7273-TEFQD,1,Q3,2,Churned,Yes,1,96,2314,Price,Long distance charges,1
BEGOJN9758,3606-TWKGI,1,Q3,1,Churned,Yes,1,84,2494,Competitor,Competitor had better devices,1
JLJPDE1341,4385-GZQXV,1,Q3,1,Churned,Yes,1,81,3810,Competitor,Competitor had better devices,1
OHPSLR4475,3488-PGMQJ,1,Q3,2,Churned,Yes,1,80,4345,Dissatisfaction,Poor expertise of online support,1
GQOQWC2393,7534-BFESC,1,Q3,2,Churned,Yes,1,91,2018,Competitor,Competitor made better offer,1
OFKDMH9951,8098-LLAZX,1,Q3,3,Churned,Yes,1,85,3677,Competitor,Competitor made better offer,1
GHCFVK8885,0265-EDXBD,1,Q3,2,Churned,Yes,1,69,4105,Attitude,Attitude of support person,1
DSIMCQ4621,2840-XANRC,1,Q3,2,Churned,Yes,1,73,2212,Competitor,Competitor made better offer,1
DHXVBL4276,5020-ZSTTY,1,Q3,1,Churned,Yes,1,83,4149,Competitor,Competitor made better offer,1
ZIEQWD5744,5804-LEPIM,1,Q3,3,Churned,Yes,1,73,2671,Other,Don't know,1
GQQMMS7744,0623-IIHUG,1,Q3,1,Churned,Yes,1,90,4778,Competitor,Competitor made better offer,1
GUGTBO6929,9057-MSWCO,1,Q3,1,Churned,Yes,1,91,2927,Competitor,Competitor made better offer,1
OEYWPL2828,4895-TMWIR,1,Q3,1,Churned,Yes,1,80,5888,Competitor,Competitor made better offer,1
NMPICW5172,0533-BNWKF,1,Q3,1,Churned,Yes,1,91,5502,Competitor,Competitor made better offer,1
LCTGJR7639,0334-GDDSO,1,Q3,1,Churned,Yes,1,73,2818,Competitor,Competitor made better offer,1
EFSJFW2561,5564-NEMQO,1,Q3,2,Churned,Yes,1,67,4902,Dissatisfaction,Network reliability,1
UNLRRA7673,6235-VDHOM,1,Q3,2,Churned,Yes,1,89,4099,Dissatisfaction,Limited range of services,1
WQCCWE6768,5609-CEBID,1,Q3,1,Churned,Yes,1,87,2666,Competitor,Competitor had better devices,1
QTRLCS8221,5956-VKDTT,1,Q3,1,Churned,Yes,1,82,5273,Dissatisfaction,Product dissatisfaction,1
LGNAAI6835,0257-ZESQC,1,Q3,1,Churned,Yes,1,91,4517,Attitude,Attitude of support person,1
QVCKEA1534,2865-TCHJW,1,Q3,1,Churned,Yes,1,74,5808,Competitor,Competitor had better devices,1
RINVCK3782,5192-EBGOV,1,Q3,1,Churned,Yes,1,66,4880,Competitor,Competitor had better devices,1
WZSVYG6552,3419-SNJJD,1,Q3,1,Churned,Yes,1,91,4196,Attitude,Attitude of support person,1
KZZHRZ2348,4554-YGZIH,1,Q3,2,Churned,Yes,1,96,5059,Competitor,Competitor made better offer,1
CVUUUK5972,5099-BAILX,1,Q3,2,Churned,Yes,1,65,2728,Competitor,Competitor made better offer,1
IYFTSS3523,4913-EHYUI,1,Q3,1,Churned,Yes,1,91,6268,Competitor,Competitor offered higher download speeds,1
YHCEYV9468,1626-ERCMM,1,Q3,1,Churned,Yes,1,84,5604,Competitor,Competitor had better devices,1
BALQIW2979,5644-PDMZC,1,Q3,2,Churned,Yes,1,80,2065,Attitude,Attitude of support person,1
GOFNCE2167,4160-AMJTL,1,Q3,2,Churned,Yes,1,83,5432,Attitude,Attitude of support person,1
YHDSJE8591,0823-HSCDJ,1,Q3,2,Churned,Yes,1,90,5597,Competitor,Competitor made better offer,1
PFDTBW9847,0067-DKWBL,1,Q3,2,Churned,Yes,1,95,3475,Competitor,Competitor made better offer,1
RZBCFN3616,5244-IRFIH,1,Q3,3,Churned,Yes,1,91,4333,Other,Poor expertise of online support,1
RISQKQ8866,2684-EIWEO,1,Q3,1,Churned,Yes,1,90,2482,Competitor,Competitor made better offer,1
YOEBSY6292,6683-VLCTZ,1,Q3,3,Churned,Yes,1,92,5444,Competitor,Competitor made better offer,1
TEYSZL2724,0691-IFBQW,1,Q3,1,Churned,Yes,1,81,2403,Competitor,Competitor made better offer,1
VEMTOD4929,3643-AHCFP,1,Q3,3,Churned,Yes,1,83,3265,Competitor,Competitor made better offer,1
FRTVGQ8355,9231-ZJYAM,1,Q3,3,Churned,Yes,1,72,5301,Other,Moved,1
WDOXMV5263,0727-BMPLR,1,Q3,3,Churned,Yes,1,83,5679,Competitor,Competitor offered higher download speeds,1
DNYEON2965,0947-MUGVO,1,Q3,1,Churned,Yes,1,95,5849,Competitor,Competitor had better devices,1
NYCEPY5895,0781-LKXBR,1,Q3,1,Churned,Yes,1,70,4038,Competitor,Competitor had better devices,1
ENIKXQ1144,1907-UBQFC,1,Q3,1,Churned,Yes,1,91,3189,Competitor,Competitor had better devices,1
OWORLL9111,6513-EECDB,1,Q3,2,Churned,Yes,1,94,4369,Price,Price too high,1
VXIZTE7781,7074-IEVOJ,1,Q3,1,Churned,Yes,1,91,3501,Dissatisfaction,Product dissatisfaction,1
KPGJZI4687,4750-ZRXIU,1,Q3,1,Churned,Yes,1,83,2467,Competitor,Competitor had better devices,1
OQKZSJ6985,7028-DVOIQ,1,Q3,1,Churned,Yes,1,82,2074,Other,Don't know,1
HTNXWR4877,4208-UFFGW,1,Q3,2,Churned,Yes,1,84,5900,Other,Don't know,1
KUZXVM7215,9889-TMAHG,1,Q3,1,Churned,Yes,1,74,5084,Competitor,Competitor had better devices,1
EURKQW6915,8919-FYFQZ,1,Q3,1,Churned,Yes,1,96,4829,Competitor,Competitor had better devices,1
UMRZPL6948,6646-QVXLR,1,Q3,1,Churned,Yes,1,91,5052,Competitor,Competitor had better devices,1
JUZQQS8256,9369-XFEHK,1,Q3,2,Churned,Yes,1,72,3601,Competitor,Competitor offered more data,1
EWESLU9293,1374-DMZUI,1,Q3,2,Churned,Yes,1,91,5419,Competitor,Competitor made better offer,1
GHJKRV8367,1989-PRJHP,1,Q3,1,Churned,Yes,1,65,2377,Competitor,Competitor had better devices,1
SCUUPF2469,4822-RVYBB,1,Q3,1,Churned,Yes,1,90,5906,Attitude,Attitude of support person,1
LBBSYW6157,4184-TJFAN,1,Q3,1,Churned,Yes,1,68,4486,Attitude,Attitude of support person,1
NRWHER1784,4145-UQXUQ,1,Q3,1,Churned,Yes,1,81,5662,Competitor,Competitor had better devices,1
LAOGXZ1566,1236-WFCDV,1,Q3,3,Churned,Yes,1,96,4777,Competitor,Competitor offered more data,1
GJNFFD2921,1271-SJBGZ,1,Q3,1,Churned,Yes,1,74,2437,Competitor,Competitor had better devices,1
WETAAO2331,4441-NIHPT,1,Q3,1,Churned,Yes,1,90,2995,Competitor,Competitor had better devices,1
GWKCLZ6162,8999-BOHSE,1,Q3,2,Churned,Yes,1,89,2202,Attitude,Attitude of support person,1
BNBGMF8623,7029-RPUAV,1,Q3,3,Churned,Yes,1,87,5508,Competitor,Competitor offered more data,1
RBRBRB7266,8111-SLLHI,1,Q3,3,Churned,Yes,1,96,4687,Attitude,Attitude of support person,1
GBGKMD2787,5293-WXJAK,1,Q3,3,Churned,Yes,1,82,4553,Competitor,Competitor offered more data,1
KGTGMQ9297,4086-YQSNZ,1,Q3,2,Churned,Yes,1,89,3834,Attitude,Attitude of service provider,1
TDRKKK6213,8399-YNDCH,1,Q3,1,Churned,Yes,1,70,4716,Competitor,Competitor had better devices,1
HMXNLD1116,5565-FILXA,1,Q3,2,Churned,Yes,1,96,5913,Other,Don't know,1
AETCLY3972,4187-CINZD,1,Q3,2,Churned,Yes,1,90,3180,Competitor,Competitor had better devices,1
TZXZIZ8987,6818-WOBHJ,1,Q3,1,Churned,Yes,1,69,5651,Competitor,Competitor had better devices,1
HKJWZU2786,9134-CEQMF,1,Q3,2,Churned,Yes,1,89,3077,Dissatisfaction,Network reliability,1
AAIKCR2516,8519-IMDHU,1,Q3,1,Churned,Yes,1,83,4981,Competitor,Competitor had better devices,1
RYXOGF2839,3372-KWFBM,1,Q3,3,Churned,Yes,1,81,2508,Dissatisfaction,Network reliability,1
FMIWPQ9414,7206-GZCDC,1,Q3,2,Churned,Yes,1,75,4371,Attitude,Attitude of support person,1
SKQSBO3455,1768-ZAIFU,1,Q3,1,Churned,Yes,1,67,5688,Competitor,Competitor made better offer,1
SAJGBW1682,3793-MMFUH,1,Q3,1,Churned,Yes,1,90,2230,Competitor,Competitor made better offer,1
TFPHIH7471,6567-HOOPW,1,Q3,3,Churned,Yes,1,76,4363,Competitor,Competitor made better offer,1
VSNVUZ7793,8621-MNIHH,1,Q3,1,Churned,Yes,1,88,3369,Competitor,Competitor had better devices,1
OTTSWI1871,5419-CONWX,1,Q3,1,Churned,Yes,1,89,2268,Competitor,Competitor had better devices,1
HOYCBY7233,7024-OHCCK,1,Q3,3,Churned,Yes,1,72,4193,Other,Poor expertise of online support,1
VLIETQ8787,5357-TZHPP,1,Q3,2,Churned,Yes,1,83,5745,Attitude,Attitude of support person,1
NYFYSH1948,0506-LVNGN,1,Q3,1,Churned,Yes,1,90,4028,Competitor,Competitor had better devices,1
PDTFUV9227,9809-IMGCQ,1,Q3,1,Churned,Yes,1,93,4458,Competitor,Competitor made better offer,1
GCZOUX5993,3254-YRILK,1,Q3,1,Churned,Yes,1,69,5683,Competitor,Competitor had better devices,1
GXKGMI7151,0529-ONKER,1,Q3,3,Churned,Yes,1,96,2099,Attitude,Attitude of support person,1
KRUSGG3413,5240-IJOQT,1,Q3,1,Churned,Yes,1,88,3348,Competitor,Competitor had better devices,1
HJNZTD2758,0661-XEYAN,1,Q3,1,Churned,Yes,1,90,3884,Competitor,Competitor had better devices,1
YBVLKY3684,2660-EMUBI,1,Q3,1,Churned,Yes,1,75,5353,Competitor,Competitor made better offer,1
ESRQXX7197,7675-OZCZG,1,Q3,3,Churned,Yes,1,77,4145,Competitor,Competitor made better offer,1
CSXVBN1186,9391-EOYLI,1,Q3,2,Churned,Yes,1,69,5374,Competitor,Competitor made better offer,1
JQJGUD4838,2761-OCIAX,1,Q3,2,Churned,Yes,1,81,2803,Competitor,Competitor made better offer,1
VYAOHK8314,3068-OMWZA,1,Q3,1,Churned,Yes,1,91,3106,Competitor,Competitor made better offer,1
SJPFHG3219,4154-AQUGT,1,Q3,1,Churned,Yes,1,82,3861,Competitor,Competitor made better offer,1
KTKRZW2795,8017-LXHFA,1,Q3,2,Churned,Yes,1,95,2740,Competitor,Competitor made better offer,1
GFBCKF4779,4248-QPAVC,1,Q3,1,Churned,Yes,1,90,3209,Competitor,Competitor made better offer,1
PYDPTI9961,4690-LLKUA,1,Q3,1,Churned,Yes,1,93,3797,Competitor,Competitor made better offer,1
TSAEFK8288,9490-DFPMD,1,Q3,2,Churned,Yes,1,90,4871,Competitor,Competitor made better offer,1
NGKOYK4579,8580-AECUZ,1,Q3,3,Churned,Yes,1,92,5001,Competitor,Competitor made better offer,1
DUFOFV5342,5047-LHVLY,1,Q3,2,Churned,Yes,1,91,3438,Competitor,Competitor made better offer,1
IURLHP3623,8375-DKEBR,1,Q3,1,Churned,Yes,1,96,3438,Competitor,Competitor had better devices,1
RGMPVH1333,7279-BUYWN,1,Q3,1,Churned,Yes,1,89,3380,Attitude,Attitude of support person,1
ZJZBTW9385,7156-MHUGY,1,Q3,1,Churned,Yes,1,76,5394,Competitor,Competitor had better devices,1
RWMXJO8516,9606-PBKBQ,1,Q3,1,Churned,Yes,1,94,4584,Attitude,Attitude of support person,1
LBUYSP5847,3536-IQCTX,1,Q3,1,Churned,Yes,1,75,2712,Competitor,Competitor had better devices,1
UCETPB6327,3132-TVFDZ,1,Q3,2,Churned,Yes,1,82,5172,Attitude,Attitude of support person,1
NDMBBV1566,8080-DDEMJ,1,Q3,2,Churned,Yes,1,79,4499,Attitude,Attitude of support person,1
DOQSUX6737,6702-OHFWR,1,Q3,3,Churned,Yes,1,91,4972,Other,Poor expertise of online support,1
ASYFCJ5371,4510-PYUSH,1,Q3,1,Churned,Yes,1,75,3110,Attitude,Attitude of support person,1
OXNSIK9764,8840-DQLGN,1,Q3,1,Churned,Yes,1,81,4745,Attitude,Attitude of support person,1
BAKYHP2433,4193-ORFCL,1,Q3,1,Churned,Yes,1,70,2740,Competitor,Competitor had better devices,1
KNXIPJ7264,7776-QWNFX,1,Q3,3,Churned,Yes,1,83,4795,Attitude,Attitude of support person,1
RVCWLF8185,6689-TCZHQ,1,Q3,3,Churned,Yes,1,65,4054,Attitude,Attitude of support person,1
VKAFNC3541,9497-QCMMS,1,Q3,1,Churned,Yes,1,81,5536,Competitor,Competitor made better offer,1
HFTBWN7962,3424-NMNBO,1,Q3,1,Churned,Yes,1,91,4739,Competitor,Competitor made better offer,1
QUEQBB6811,4514-GFCFI,1,Q3,2,Churned,Yes,1,91,5136,Attitude,Attitude of support person,1
SWBEPD5617,8000-REIQB,1,Q3,2,Churned,Yes,1,94,3208,Competitor,Competitor made better offer,1
GBWEJC6191,4795-KTRTH,1,Q3,1,Churned,Yes,1,91,4287,Competitor,Competitor made better offer,1
UBGWIJ5688,9961-JBNMK,1,Q3,1,Churned,Yes,1,87,4317,Dissatisfaction,Product dissatisfaction,1
RAATCR5739,6179-GJPSO,1,Q3,1,Churned,Yes,1,86,2833,Competitor,Competitor made better offer,1
ASREIF2648,8290-YWKHZ,1,Q3,3,Churned,Yes,1,90,5247,Competitor,Competitor made better offer,1
TTFGJI1314,8051-HJRLT,1,Q3,3,Churned,Yes,1,82,2146,Attitude,Attitude of service provider,1
BKPOCD1461,4021-RQSNY,1,Q3,3,Churned,Yes,1,72,5137,Attitude,Attitude of service provider,1
OLYISO8633,9061-TIHDA,1,Q3,1,Churned,Yes,1,90,2982,Competitor,Competitor had better devices,1
VVBOIQ7899,8699-ASUFO,1,Q3,3,Churned,Yes,1,96,4969,Attitude,Attitude of service provider,1
UPHRFQ9321,4695-WJZUE,1,Q3,1,Churned,Yes,1,80,3685,Competitor,Competitor had better devices,1
UHUHKX7283,3988-RQIXO,1,Q3,3,Churned,Yes,1,71,2371,Attitude,Attitude of service provider,1
MAYHAA9124,5931-FLJJF,1,Q3,2,Churned,Yes,1,83,3669,Attitude,Attitude of service provider,1
SRWPAH4479,3207-OYBWH,1,Q3,2,Churned,Yes,1,86,6259,Attitude,Attitude of support person,1
CSFGXZ7461,7216-EWTRS,1,Q3,1,Churned,Yes,1,65,3128,Attitude,Attitude of service provider,1
IRUBCM8937,2528-HFYZX,1,Q3,1,Churned,Yes,1,92,3266,Competitor,Competitor had better devices,1
YSQNHW3939,4140-MUHUG,1,Q3,2,Churned,Yes,1,70,3561,Attitude,Attitude of service provider,1
YRVEDJ6662,1587-FKLZB,1,Q3,1,Churned,Yes,1,96,4479,Competitor,Competitor had better devices,1
KSHTYH8518,5440-FLBQG,1,Q3,3,Churned,Yes,1,73,4708,Attitude,Attitude of service provider,1
SULHVX4272,2774-LVQUS,1,Q3,3,Churned,Yes,1,70,2596,Competitor,Competitor made better offer,1
LDZSRC9312,4612-THJBS,1,Q3,3,Churned,Yes,1,93,5605,Attitude,Attitude of service provider,1
BZOTHA9794,4094-NSEDU,1,Q3,2,Churned,Yes,1,73,4819,Competitor,Competitor made better offer,1
PRGUZN4563,1846-XWOQN,1,Q3,2,Churned,Yes,1,71,2825,Competitor,Competitor made better offer,1
HKLZCV1478,3757-NJYBX,1,Q3,2,Churned,Yes,1,65,4113,Other,Moved,1
ZETKGB4784,9898-KZQDZ,1,Q3,1,Churned,Yes,1,95,5676,Competitor,Competitor had better devices,1
YOWRZN1127,8263-JQAIK,1,Q3,3,Churned,Yes,1,77,5573,Competitor,Competitor offered more data,1
JKOZPZ9562,2205-YMZZJ,1,Q3,3,Churned,Yes,1,70,2015,Competitor,Competitor made better offer,1
LKROTI4916,1254-IZEYF,1,Q3,3,Churned,Yes,1,96,5362,Competitor,Competitor made better offer,1
GKCSSF7128,9221-OTIVJ,1,Q3,1,Churned,Yes,1,86,2292,Dissatisfaction,Product dissatisfaction,1
XDIUYI8273,5908-QMGOE,1,Q3,1,Churned,Yes,1,80,4553,Competitor,Competitor had better devices,1
DLDBDQ5267,0397-GZBBC,1,Q3,2,Churned,Yes,1,85,5390,Price,Price too high,1
DFNLYW3612,7641-EUYET,1,Q3,1,Churned,Yes,1,72,5712,Dissatisfaction,Product dissatisfaction,1
GUSWWN2723,8922-LIEGH,1,Q3,3,Churned,Yes,1,82,4078,Dissatisfaction,Poor expertise of online support,1
VWTWHI3551,8245-UMPYT,1,Q3,3,Churned,Yes,1,80,2688,Dissatisfaction,Poor expertise of phone support,1
MLIAME2436,5186-SAMNZ,1,Q3,2,Churned,Yes,1,77,3273,Price,Price too high,1
AZOBRG5279,5373-SFODM,1,Q3,2,Churned,Yes,1,82,3041,Dissatisfaction,Product dissatisfaction,1
BLGYGC8417,0022-TCJCI,1,Q3,1,Churned,Yes,1,92,2654,Dissatisfaction,Limited range of services,1
QVXGDE1955,5130-IEKQT,1,Q3,2,Churned,Yes,1,91,4283,Price,Price too high,1
OPSRYM7127,3269-ATYWD,1,Q3,1,Churned,Yes,1,65,4892,Other,Don't know,1
VTOBSS2475,0354-WYROK,1,Q3,2,Churned,Yes,1,91,4050,Other,Don't know,1
WHMAGN9981,7576-OYWBN,1,Q3,1,Churned,Yes,1,67,2930,Competitor,Competitor had better devices,1
XMTVCG9578,5539-TMZLF,1,Q3,1,Churned,Yes,1,69,5057,Competitor,Competitor had better devices,1
LQRRVK7914,3336-JORSO,1,Q3,1,Churned,Yes,1,80,3401,Dissatisfaction,Product dissatisfaction,1
YYKTKP8286,6861-XWTWQ,1,Q3,2,Churned,Yes,1,90,2487,Attitude,Attitude of support person,1
OLSDRD6772,4283-FUTGF,1,Q3,3,Churned,Yes,1,65,3715,Dissatisfaction,Network reliability,1
GLHBMS9445,2397-BRLOM,1,Q3,1,Churned,Yes,1,91,3443,Other,Don't know,1
EILNQQ8528,8510-AWCXC,1,Q3,1,Churned,Yes,1,65,3269,Attitude,Attitude of support person,1
WNXLVS2993,8225-BTJAU,1,Q3,1,Churned,Yes,1,87,3856,Competitor,Competitor had better devices,1
NYJFHW7796,1724-BQUHA,1,Q3,2,Churned,Yes,1,66,2718,Attitude,Attitude of support person,1
FPSYNF8781,4826-XTSOH,1,Q3,1,Churned,Yes,1,96,4843,Competitor,Competitor had better devices,1
GESSJF8356,2408-WITXK,1,Q3,1,Churned,Yes,1,92,3244,Other,Deceased,1
FMLBHH5729,2634-HCZGT,1,Q3,1,Churned,Yes,1,77,5271,Other,Moved,1
VTJDEX8111,7503-QQRVF,1,Q3,1,Churned,Yes,1,81,2076,Competitor,Competitor had better devices,1
YYGAYD8174,0709-TVGUR,1,Q3,1,Churned,Yes,1,69,3145,Competitor,Competitor had better devices,1
UJAKVE4757,3001-CBHLQ,1,Q3,1,Churned,Yes,1,79,3966,Attitude,Attitude of support person,1
YGDYLM3696,4102-OQUPX,1,Q3,3,Churned,Yes,1,91,5429,Competitor,Competitor made better offer,1
NWOCDY5117,3999-QGRJH,1,Q3,1,Churned,Yes,1,88,3068,Dissatisfaction,Product dissatisfaction,1
BDNZEP8637,2454-RPBRZ,1,Q3,3,Churned,Yes,1,90,2709,Dissatisfaction,Service dissatisfaction,1
ZDLWJE6447,2265-CYWIV,1,Q3,1,Churned,Yes,1,77,4708,Dissatisfaction,Network reliability,1
VZADJT8545,4550-VBOFE,1,Q3,1,Churned,Yes,1,91,5005,Competitor,Competitor had better devices,1
MEMRMJ4356,7409-KIUTL,1,Q3,3,Churned,Yes,1,72,5345,Competitor,Competitor made better offer,1
HJKLMA9526,1732-VHUBQ,1,Q3,3,Churned,Yes,1,82,4457,Competitor,Competitor made better offer,1
SZGROJ4121,0679-IDSTG,1,Q3,1,Churned,Yes,1,87,4568,Competitor,Competitor had better devices,1
QCSXTN9661,8802-UNOJF,1,Q3,1,Churned,Yes,1,78,5565,Competitor,Competitor had better devices,1
SNTULH2543,6313-GIDIT,1,Q3,2,Churned,Yes,1,65,6280,Price,Price too high,1
JIALZK3136,2845-AFFTX,1,Q3,1,Churned,Yes,1,76,4726,Dissatisfaction,Product dissatisfaction,1
UDEIDF8384,2815-CPTUL,1,Q3,2,Churned,Yes,1,89,3684,Price,Price too high,1
TAZIIE2293,1891-FZYSA,1,Q3,1,Churned,Yes,1,82,6363,Competitor,Competitor had better devices,1
RSLPGZ3116,9685-WKZGT,1,Q3,3,Churned,Yes,1,70,2075,Price,Extra data charges,1
BWIGFU7688,6022-UGGSO,1,Q3,1,Churned,Yes,1,90,2091,Competitor,Competitor had better devices,1
FTVVAS5955,3923-CSIHK,1,Q3,3,Churned,Yes,1,94,5746,Other,Poor expertise of online support,1
VZQCST4865,3677-IYRBF,1,Q3,1,Churned,Yes,1,90,4002,Attitude,Attitude of support person,1
